date1,state,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
06/05/2020,Tripura,43,41,2,0,84
07/05/2020,Tripura,43,41,2,0,84
08/05/2020,Tripura,65,63,2,0,128
09/05/2020,Tripura,118,116,2,0,234
10/05/2020,Tripura,134,132,2,0,266
11/05/2020,Tripura,150,148,2,0,298
12/05/2020,Tripura,152,150,2,0,302
13/05/2020,Tripura,154,152,2,0,306
14/05/2020,Tripura,155,139,16,0,294
15/05/2020,Tripura,156,127,29,0,283
16/05/2020,Tripura,156,114,42,0,270
17/05/2020,Tripura,167,103,64,0,270
18/05/2020,Tripura,167,82,85,0,249
19/05/2020,Tripura,167,82,85,0,249
20/05/2020,Tripura,173,57,116,0,230
21/05/2020,Tripura,173,40,133,0,213
22/05/2020,Tripura,173,25,148,0,198
23/05/2020,Tripura,175,23,152,0,198
24/05/2020,Tripura,189,36,153,0,225
25/05/2020,Tripura,191,26,165,0,217
26/05/2020,Tripura,194,29,165,0,223
27/05/2020,Tripura,207,42,165,0,249
28/05/2020,Tripura,230,65,165,0,295
29/05/2020,Tripura,242,75,167,0,317
30/05/2020,Tripura,251,80,171,0,331
31/05/2020,Tripura,268,96,172,0,364
01/06/2020,Tripura,313,140,173,0,453
02/06/2020,Tripura,420,247,173,0,667
03/06/2020,Tripura,468,295,173,0,763
04/06/2020,Tripura,468,295,173,0,763
05/06/2020,Tripura,644,471,173,0,1115
06/06/2020,Tripura,692,519,173,0,1211
07/06/2020,Tripura,747,574,173,0,1321
08/06/2020,Tripura,800,608,192,0,1408
09/06/2020,Tripura,838,646,192,0,1484
10/06/2020,Tripura,864,671,192,1,1535
11/06/2020,Tripura,895,655,239,1,1550
12/06/2020,Tripura,913,634,278,1,1547
13/06/2020,Tripura,961,682,278,1,1643
14/06/2020,Tripura,1046,730,315,1,1776
15/06/2020,Tripura,1076,760,315,1,1836
16/06/2020,Tripura,1086,652,433,1,1738
17/06/2020,Tripura,1092,658,433,1,1750
18/06/2020,Tripura,1135,578,556,1,1713
19/06/2020,Tripura,1155,515,639,1,1670
20/06/2020,Tripura,1178,520,657,1,1698
21/06/2020,Tripura,1186,505,680,1,1691
22/06/2020,Tripura,1221,461,759,1,1682
23/06/2020,Tripura,1237,454,782,1,1691
24/06/2020,Tripura,1259,451,807,1,1710
25/06/2020,Tripura,1259,361,897,1,1620
26/06/2020,Tripura,1290,270,1019,1,1560
27/06/2020,Tripura,1325,269,1055,1,1594
28/06/2020,Tripura,1334,262,1071,1,1596
29/06/2020,Tripura,1346,266,1079,1,1612
30/06/2020,Tripura,1380,294,1085,1,1674
24/03/2020,Uttar Pradesh,33,24,9,0,57
25/03/2020,Uttar Pradesh,33,22,11,0,55
26/03/2020,Uttar Pradesh,37,26,11,0,63
27/03/2020,Uttar Pradesh,41,30,11,0,71
28/03/2020,Uttar Pradesh,55,44,11,0,99
29/03/2020,Uttar Pradesh,55,44,11,0,99
30/03/2020,Uttar Pradesh,75,64,11,0,139
31/03/2020,Uttar Pradesh,101,87,14,0,188
01/04/2020,Uttar Pradesh,103,89,14,0,192
02/04/2020,Uttar Pradesh,113,97,14,2,210
03/04/2020,Uttar Pradesh,113,97,14,2,210
04/04/2020,Uttar Pradesh,174,153,19,2,327
05/04/2020,Uttar Pradesh,227,206,19,2,433
06/04/2020,Uttar Pradesh,227,206,19,2,433
07/04/2020,Uttar Pradesh,305,281,21,3,586
08/04/2020,Uttar Pradesh,326,302,21,3,628
09/04/2020,Uttar Pradesh,361,330,27,4,691
10/04/2020,Uttar Pradesh,410,375,31,4,785
11/04/2020,Uttar Pradesh,431,395,32,4,826
12/04/2020,Uttar Pradesh,452,402,45,5,854
13/04/2020,Uttar Pradesh,483,432,46,5,915
14/04/2020,Uttar Pradesh,558,504,49,5,1062
15/04/2020,Uttar Pradesh,660,605,50,5,1265
16/04/2020,Uttar Pradesh,735,673,51,11,1408
17/04/2020,Uttar Pradesh,805,718,74,13,1523
18/04/2020,Uttar Pradesh,849,753,82,14,1602
19/04/2020,Uttar Pradesh,969,869,86,14,1838
20/04/2020,Uttar Pradesh,1084,959,108,17,2043
21/04/2020,Uttar Pradesh,1184,1026,140,18,2210
22/04/2020,Uttar Pradesh,1294,1134,140,20,2428
